                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2251,                   1.21,                 1.4039,                0.77345,                0.61116,                0.70531,                0.47846,                 1.1225,                0.97623,                 1.3268,               0.008878,               0.008878,               0.008878
                     36,                  1.221,                 1.2028,                 1.3987,                0.78073,                0.61097,                0.70725,                0.48057,                 1.1225,                0.97367,                 1.3234,               0.008845,               0.008845,               0.008845
                     37,                 1.2206,                  1.201,                 1.3961,                0.76971,                0.61655,                0.70733,                0.48098,                 1.1233,                0.97277,                 1.3214,               0.008812,               0.008812,               0.008812
                     38,                  1.218,                 1.1967,                  1.392,                0.77809,                0.61307,                0.70881,                0.48233,                 1.1191,                0.97058,                 1.3173,               0.008779,               0.008779,               0.008779
                     39,                  1.216,                 1.1942,                 1.3912,                0.77652,                0.61503,                 0.7102,                0.48359,                  1.117,                0.96836,                 1.3141,               0.008746,               0.008746,               0.008746
                     40,                 1.2136,                 1.1892,                  1.388,                0.78241,                 0.6139,                0.71057,                0.48411,                 1.1121,                0.96587,                 1.3109,               0.008713,               0.008713,               0.008713
                     41,                 1.2129,                 1.1891,                  1.384,                0.78582,                0.61431,                0.71094,                0.48508,                 1.1099,                0.96426,                  1.309,                0.00868,                0.00868,                0.00868
                     42,                 1.2101,                 1.1863,                 1.3827,                0.78173,                0.61639,                0.71148,                 0.4856,                 1.1088,                0.96428,                 1.3071,               0.008647,               0.008647,               0.008647
                     43,                 1.2084,                 1.1812,                 1.3828,                0.78723,                0.61681,                0.71264,                0.48657,                 1.1114,                0.95812,                 1.2952,               0.008614,               0.008614,               0.008614
                     44,                  1.213,                 1.1915,                  1.386,                 0.7833,                0.61909,                0.71252,                0.48684,                 1.1102,                0.95585,                 1.2942,               0.008581,               0.008581,               0.008581
                     45,                 1.2165,                 1.1964,                 1.3872,                0.78451,                0.61856,                0.71315,                 0.4871,                 1.1088,                0.95551,                 1.2927,               0.008548,               0.008548,               0.008548
                     46,                 1.2125,                 1.1912,                 1.3833,                0.78298,                0.61989,                0.71303,                0.48708,                  1.108,                0.95556,                 1.2918,               0.008515,               0.008515,               0.008515
                     47,                 1.2118,                 1.1882,                 1.3818,                0.78376,                0.62054,                0.71339,                0.48792,                  1.107,                0.95488,                 1.2906,               0.008482,               0.008482,               0.008482
