                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1167,                  1.042,                  1.338,                0.80269,                0.66472,                0.75613,                0.53185,                  1.025,                0.83825,                 1.2658,               0.008845,               0.008845,               0.008845
                     37,                 1.1132,                 1.0364,                 1.3358,                0.80798,                0.66255,                0.75667,                0.53274,                 1.0239,                0.83769,                 1.2637,               0.008812,               0.008812,               0.008812
                     38,                 1.1132,                 1.0357,                  1.331,                0.80551,                 0.6651,                0.75733,                 0.5335,                 1.0228,                0.83594,                 1.2617,               0.008779,               0.008779,               0.008779
                     39,                 1.1084,                 1.0318,                 1.3297,                0.81082,                0.66198,                0.75771,                 0.5347,                 1.0219,                0.83329,                 1.2595,               0.008746,               0.008746,               0.008746
                     40,                 1.1075,                 1.0294,                 1.3261,                0.81555,                0.66174,                0.75862,                0.53544,                 1.0209,                0.83157,                 1.2573,               0.008713,               0.008713,               0.008713
                     41,                  1.107,                 1.0294,                 1.3245,                 0.8184,                 0.6606,                0.75904,                0.53586,                 1.0194,                0.83033,                 1.2551,                0.00868,                0.00868,                0.00868
                     42,                 1.1064,                 1.0253,                 1.3219,                0.82008,                0.66055,                0.75954,                0.53642,                 1.0185,                0.82901,                  1.253,               0.008647,               0.008647,               0.008647
                     43,                 1.1036,                 1.0214,                 1.3191,                0.82384,                0.65927,                0.75943,                0.53678,                 1.0177,                 0.8278,                 1.2514,               0.008614,               0.008614,               0.008614
                     44,                 1.1007,                 1.0154,                 1.3146,                0.82374,                0.66076,                0.76018,                0.53739,                 1.0164,                0.82683,                 1.2493,               0.008581,               0.008581,               0.008581
                     45,                 1.0984,                  1.016,                 1.3138,                0.82559,                0.66025,                0.76043,                 0.5383,                 1.0158,                0.82544,                 1.2475,               0.008548,               0.008548,               0.008548
                     46,                 1.0973,                 1.0147,                 1.3117,                0.82421,                0.66149,                0.76094,                0.53898,                 1.0148,                0.82376,                 1.2455,               0.008515,               0.008515,               0.008515
                     47,                 1.0951,                  1.008,                  1.308,                0.82272,                0.66256,                0.76157,                0.53945,                  1.014,                 0.8224,                 1.2434,               0.008482,               0.008482,               0.008482
                     48,                  1.096,                 1.0088,                 1.3068,                0.82263,                0.66222,                0.76183,                 0.5404,                 1.0127,                0.82064,                 1.2415,               0.008449,               0.008449,               0.008449
                     49,                 1.0944,                 1.0083,                 1.3045,                0.82177,                0.66328,                 0.7627,                0.54078,                 1.0115,                0.82007,                 1.2389,               0.008416,               0.008416,               0.008416
                     50,                 1.0936,                 1.0037,                 1.3034,                0.81823,                0.66701,                0.76278,                0.54127,                 1.0101,                0.81836,                 1.2368,               0.008383,               0.008383,               0.008383
                     51,                 1.0905,                 1.0021,                 1.3005,                0.81838,                0.66904,                 0.7636,                0.54202,                 1.0085,                0.81722,                 1.2347,                0.00835,                0.00835,                0.00835
                     52,                  1.091,                 1.0005,                 1.3013,                0.81957,                0.66875,                0.76465,                0.54338,                 1.0074,                0.81515,                 1.2328,               0.008317,               0.008317,               0.008317
                     53,                 1.0903,                 1.0004,                  1.299,                0.82054,                 0.6669,                0.76472,                0.54405,                  1.006,                0.81285,                 1.2306,               0.008284,               0.008284,               0.008284
                     54,                 1.0889,                0.99522,                 1.2931,                0.82212,                0.66715,                0.76548,                0.54488,                 1.0063,                0.81141,                 1.2287,               0.008251,               0.008251,               0.008251
                     55,                 1.0836,                0.99219,                 1.2928,                  0.823,                0.66728,                0.76578,                0.54479,                 1.0053,                0.80966,                 1.2272,               0.008218,               0.008218,               0.008218
                     56,                 1.0867,                0.99633,                 1.2913,                0.82173,                0.66791,                0.76643,                0.54598,                  1.004,                0.80768,                 1.2251,               0.008185,               0.008185,               0.008185
                     57,                 1.0853,                0.98913,                 1.2882,                0.82238,                0.66862,                0.76645,                0.54639,                 1.0037,                0.80695,                 1.2234,               0.008152,               0.008152,               0.008152
                     58,                 1.0855,                0.99031,                  1.287,                0.81839,                0.67133,                0.76732,                0.54756,                 1.0023,                0.80567,                 1.2218,               0.008119,               0.008119,               0.008119
                     59,                 1.0809,                 0.9865,                 1.2835,                0.81972,                0.67078,                0.76774,                0.54798,                 1.0017,                0.80531,                   1.22,               0.008086,               0.008086,               0.008086
                     60,                 1.0823,                0.98461,                 1.2837,                0.81962,                0.67153,                0.76881,                0.54899,                 1.0007,                0.80397,                 1.2179,               0.008053,               0.008053,               0.008053
                     61,                 1.0793,                0.98407,                 1.2799,                0.81859,                0.67253,                0.76904,                0.54957,                0.99922,                 0.8031,                 1.2157,                0.00802,                0.00802,                0.00802
                     62,                 1.0793,                0.98368,                 1.2805,                0.81866,                0.67302,                0.76974,                 0.5499,                0.99805,                0.80193,                 1.2137,               0.007987,               0.007987,               0.007987
                     63,                 1.0749,                0.98094,                 1.2776,                0.81716,                0.67563,                0.77046,                 0.5507,                0.99768,                0.80102,                 1.2124,               0.007954,               0.007954,               0.007954
                     64,                 1.0776,                   0.98,                 1.2767,                0.81843,                0.67455,                0.77089,                0.55172,                0.99664,                0.79955,                 1.2109,               0.007921,               0.007921,               0.007921
                     65,                 1.0758,                0.98016,                 1.2743,                0.82444,                0.67196,                0.77124,                0.55242,                0.99571,                0.79804,                 1.2088,               0.007888,               0.007888,               0.007888
